1,2,15,12
1,2,15,24
1,2,15,29
1,2,15,40
1,2,49,10
1,2,49,23
1,2,37,2
1,2,37,10
1,2,37,14
1,2,37,15
1,2,37,16
1,2,37,17
1,2,37,20
1,2,37,21
1,2,37,22
1,2,37,24
1,2,37,30
0,2,19,20
0,2,19,21
1,2,54,15
1,2,54,17
1,2,54,18
1,2,54,27
0,2,82,2
0,2,82,9
1,2,63,3
0,2,18,36
0,2,34,3
0,2,34,8
0,2,34,19
0,2,34,20
0,2,34,23
0,2,34,26
1,2,8,3
1,2,8,12
1,2,8,31
1,2,28,40
0,2,68,25
0,2,68,27
0,2,68,28
1,2,13,10
1,2,13,39
0,2,10,2
0,2,10,4
0,2,10,5
0,2,10,6
0,2,10,8
0,2,10,9
0,2,10,11
0,2,10,12
0,2,10,13
0,2,10,14
0,2,10,16
0,2,10,17
0,2,10,21
0,2,10,26
0,2,10,31
0,2,10,37
0,2,89,1
0,2,89,34
0,2,43,3
0,2,43,8
0,2,43,9
0,2,43,23
1,2,52,39
0,2,65,37
1,2,87,14
1,2,87,39
0,2,71,2
0,2,71,19
0,2,2,5
0,2,2,7
0,2,2,20
0,2,2,25
1,2,6,10
1,2,6,19
0,1,12,3
0,1,12,29
1,1,37,3
0,1,14,2
1,1,49,2
1,1,49,6
0,1,19,6
0,1,19,7
0,1,19,13
0,1,19,36
1,1,54,2
1,1,54,3
1,1,54,5
1,1,54,17
1,1,63,2
1,1,63,3
1,1,63,5
1,1,63,6
1,1,63,7
1,1,63,11
1,1,63,15
1,1,63,17
1,1,63,24
1,1,63,25
1,1,63,27
1,1,63,39
0,1,18,13
0,1,18,32
1,1,74,4
0,1,26,9
0,1,26,10
0,1,26,34
0,1,29,7
0,1,29,8
0,1,29,28
0,1,29,29
1,1,8,3
1,1,8,10
1,1,8,11
1,1,90,1
1,1,90,8
1,1,90,24
1,1,13,6
1,1,13,7
1,1,13,8
1,1,13,14
1,1,13,18
1,1,13,30
1,1,13,32
1,1,13,40
0,1,68,5
0,1,68,9
0,1,68,14
0,1,68,18
0,1,68,19
0,1,68,37
0,1,68,39
1,1,58,1
1,1,58,31
0,1,89,7
0,1,89,29
0,1,89,30
1,1,77,31
0,1,10,4
0,1,10,5
0,1,10,10
0,1,10,11
0,1,10,12
0,1,10,16
0,1,10,23
0,1,10,26
0,1,10,29
0,1,14,24
1,1,6,2
1,1,6,3
1,1,6,11
0,1,89,2
0,1,89,27
0,1,43,21
1,1,52,1
1,1,52,5
1,1,52,20
1,1,52,38
0,1,46,5
0,1,46,12
0,1,65,16
0,1,65,20
0,1,66,1
0,1,66,2
1,1,30,1
0,1,71,11
0,1,71,20
0,1,2,2
0,1,2,35
1,1,25,1
1,1,25,2
0,1,60,37
0,1,38,2
0,1,38,3
0,1,38,4
0,1,38,10
0,1,38,21
0,1,38,22
0,1,38,23
0,1,38,24
0,1,38,40
